source;url;date;title;body
Guardian;https://www.theguardian.com/world/live/2022/jun/02/russia-ukraine-war-latest-zelenskiy-says-243-children-so-far-killed-in-war-russia-claims-latest-us-weapons-package-is-direct-provocation-live;2022-06-02;"Russia-Ukraine war latest: Zelenskiy says 243 children so far killed in war; Russia claims latest US weapons package is ‘direct provocation’ – live";"Ukraine’s president claims 200,000 children have been forcefully taken to Russia; the US will supply Ukraine with medium-range rocket systems
"
Guardian;https://www.theguardian.com/world/2022/jun/02/russia-and-the-west-compete-to-secure-safe-passage-for-ukraines-grain;2022-06-02;Russia and the west compete to secure safe passage for Ukraine’s grain;"Analysis: both sides agree grain must reach world markets soon but each wants to decide how
In a game of diplomatic cat and mouse, Russia and the west are coming up with similar if sometimes competing ideas for how Ukraine’s badly needed grain can be given safe passage through the Black Sea and on to the world markets. They are also competing to win the battle for world opinion if the plans collapse.
Both sides are busy diplomatically across Africa and the Middle East trying to portray their adversary as the culprit for spiralling food and fertiliser prices. Russia and Ukraine export more than a quarter of the world’s wheat, while Russia is the world’s top fertiliser exporter. The World Bank’s Fertiliser Price Index rose nearly 10% in the first quarter of 2022, to an all-time high in nominal terms.
Ukraine’s backlog of 20m tonnes of grain needs to be exported quickly to avoid a further explosion of food prices, and also to preserve the next Ukrainian harvest that currently cannot be sent to already full storage facilities.
That is not possible due to the Russian naval blockade of the Black Sea port of Odesa, and Ukrainian floating mines planted to block the port from Russian attack. Russia, in return for lifting the blockade, wants any sanctions on its shipping and fertiliser products lifted. At issue is whether there is a deal to be done.
In what is beginning to look like the main plan, the Russian foreign minister, Sergei Lavrov, has agreed to meet the Turkish president, Recep Tayyip Erdoğan, but not until 8 June, over proposals for Turkey to de-mine Odesa and then escort grain ships through to the Bosphorous along a naval corridor. Erdoğan spoke with Vladimir Putin about the proposal on Monday, and according to the Turkish read-out, Putin was willing to cooperate, on conditions.
Turkey, through the 1936 Montreux convention, is arbiter of sea traffic in and out of the Black Sea, and justifies its refusal as a Nato member to impose sanctions on Russia by pointing to this unique role. The Turkish foreign minister, Mevlüt Çavuşoğlu, said on Tuesday that food security was the most important question: “We are focusing on this. We are planning to establish a centre in Istanbul to observe the corridor.”
Within Europe, the Italian prime minister, Mario Draghi, has taken the practical initiative, discussing the issue first with Joe Biden a fortnight ago then last week holding talks with the Ukrainian president, Volodymyr Zelenskiy, then Putin and then Zelenskiy again.
The Ukrainians have said they are willing to see Odesa de-mined, but conditions would have to be set on how the Russian navy would not use the clearance of mines as an opportunity for its warships to move closer to the port. Ukraine’s foreign minister, Dmytro Kuleba, said: “We must be very careful, because a unilateral guarantee from the Kremlin is not enough. We need third countries to take responsibility for enforcing the agreement.”
Italy and the UK have offered to undertake the de-mining operation, something that could take a fortnight, but Turkey may be Russia’s preferred choice to complete this perilous task.
According to Draghi, Putin has indicated that he would open access to Odesa provided valid checks could be made to ensure the grain ships were not carrying weapons for use by Ukraine. Unresolved issues also exist about the nationality of the ships escorting the convoy, and their terms of engagement if threatened by Russia.
According to Moscow, Putin noted the “readiness of the Russian side” to facilitate the unhindered sea transit of goods in coordination with Turkish partners.
But Russia also wants in return the lifting of western sanctions on Russian fertilisers, something Draghi says is also being urged on the EU by Africa and warrants a second look.
The US is also showing some flexibility. Its ambassador to the UN, Linda Thomas-Greenfield, said the US was prepared to give “comfort letters” to shipping and insurance companies to help facilitate exports of Russian grain and fertiliser.
She insisted that Russian grain and fertiliser were not under US Treasury sanctions but that “companies are a little nervous and we’re prepared to give them comfort letters if that will help to encourage them”. She stressed this was not a bargain to get the Russian blockade of the port of Odesa lifted.
At the moment, the UK and the EU may be heading in contradictory directions by coordinating a ban on insurance for ships carrying Russian oil anywhere in the world. Distinguishing insurance for grain as opposed to oil ships is feasible, but could prove a complicating factor.
One possibility is that Rebecca Grynspan, a senior UN official – recently in Moscow for talks on the issue – could help negotiate a draft security council resolution backing the humanitarian corridor, an idea backed by the French president, Emmanuel Macron. One western official said: “It is unlikely even Russia could veto a resolution to feed the world simply because Russian demands on the lifting of sanctions had not been met.”
Draghi is not opposed to the UN involvement but has fears about the pace of progress. He said: “It can play an important role in resolving the crisis, but we have a duty to ask ourselves how we can help. How to accelerate, to avoid arriving late.”
However, the UK, Poland and Baltic states are sceptical that Putin will ever agree. Britain backed Lithuania’s proposal for a similar convoy plan, but one that did not depend on Russian cooperation. It proposed a coalition of the willing – not a Nato force – to escort ships.
Egypt, one of the many middle- and lower-income countries heavily dependent on Ukrainian and Russian grain, was mentioned as a possible member of the coalition. The plan certainly seemed to gain favour with the hawkish UK foreign secretary, Liz Truss, when she met the Lithuanian foreign minister, Gabrielius Landsbergis. It was significant that Poland’s president, Andrzej Duda, made a rare visit to Cairo this week to discuss the grain crisis.
But Gen Mark Milley, the chair of the US joint Chiefs of Staff, struck a cautious note in London on Tuesday, saying: “To open up those sea lanes would require a very significant military effort.” If policymakers opted for it, “it would be a high-risk military operation that would require significant levels of effort”, he said. It is for that reason Draghi, Macron and the German chancellor, Olaf Scholz, felt that it was necessary to test Putin out.
If none of the sea-route options works, the only alternative is to intensify the use of existing and much more expensive routes that take grain on trucks through Poland to Baltic and Polish ports, or on barges down the Dnieper River to Romanian ports and finally via train to Poland. The option of taking grain by train through Belarus looks impossible due to Minsk’s demands for sanctions on potash to be lifted.
At the main crossing point into Romania there is a 20km backlog of trucks waiting to be inspected. A queue of 100 barges were at the Dnieper River waiting to get to the Black Sea. Only seven vessels were being cleared a day.
Apart from the humanitarian necessity to avoid famine, Draghi regards the risks to the west of spiralling bread prices, in terms of migratory flows, terrorism and political instability, as real and imminent. As one Italian official put it: “We have two weeks left to sort this or we face something very grave.”"
Guardian;https://www.theguardian.com/world/2022/jun/02/russia-ukraine-war-what-we-know-on-day-99-of-the-invasion;2022-06-02;Russia-Ukraine war: what we know on day 99 of the invasion;"Russia hits back at US supply of medium-range rocket systems; Russian forces control two-thirds of Sievierodonetsk; Ukraine suffers 100 casualties a day
The US will send Ukraine four sophisticated, medium-range rocket systems and ammunition to help try to stall Russian progress in the Donbas region. The rocket systems are part of a new $700m tranche of security assistance that also includes helicopters, Javelin anti-tank weapon systems, radars, tactical vehicles, spare parts and more. It will take at least three weeks to get the precision weapons and trained troops on to the battlefield, the Pentagon said.
Russia’s foreign minister, Sergei Lavrov, said the supply of US advanced rocket systems to Ukraine increases the risk of a “third country” being dragged into the conflict. Lavrov’s deputy, Sergei Ryabkov, said that Moscow viewed US military aid to Ukraine “extremely negatively” and that it would increase the risk of a direct confrontation. The Kremlin spokesperson Dmitry Peskov added: “We believe that the United States is purposefully and diligently adding fuel to the fire.”
The US secretary of state, Antony Blinken, said Ukraine has given “assurances” that it will not use long-range weapons systems provided by Washington against targets on Russian territory.
Following Joe Biden’s announcement, the UK has reportedly asked the US to sign off on a plan to send advanced, medium-range rocket systems to Ukraine within a few weeks. Britain’s prime minister, Boris Johnson, spoke with Biden about the transfer of US-made M270 multiple launch rocket systems, which will be followed by a discussion between his foreign secretary, Liz Truss, and Blinken on Thursday, Politico cited a source as saying.
Russian forces now control more than two-thirds of the key eastern Ukrainian city of Sievierodonetsk, according to the regional governor of Luhansk. “Unfortunately, today, Russian troops control most of the city,” Serhiy Gaidai said, adding that a number of civilians are sheltering from Russian shelling under a chemical plant. The expected loss of Sievierodonetsk, the largest citystill held by Kyiv in the Luhansk region, “is unlikely to be the crux” of Russia’s Donbas campaign, a western official said.
Ukraine’s president, Volodymyr Zelenskiy, conceded that Kyiv’s forces are currently suffering up to 100 fatalities and 500 wounded every day. The most difficult situation is in the east of Ukraine and southern Donetsk and Luhansk, Zelenskiy said in an interview with the US Newsmax television channel. Western officials said Ukraine’s estimate that it is losing 60 to 100 troops a day killed is “pretty credible”.
A Russian missile hit rail lines in the western Lviv region, a key conduit for supplies of western weapons and other supplies, officials said. Lviv regional governor Maksym Kozytskiy said five people were wounded in the strike. Anton Gerashchenko, an adviser to the country’s interior minister, said the Russians hit the Beskidy railway tunnel in the Carpathian Mountains in an apparent effort to cut a key railway link and disrupt shipments of weapons and fuel.
Russia said it has completed testing of its hypersonic Zircon cruise missile and will deploy it before the end of the year on a new frigate of its Northern Fleet. President Vladimir Putin has described the Zircon as part of a new generation of unrivalled arms systems, travelling at nine times the speed of sound.
Russian troops have been accused of committing acts of torture against residents in the Russian-controlled Kherson region in southern Ukraine. The BBC has gathered multiple first-hand testimonies from Kherson residents who say they were tortured while in the hands of Russian forces.
Denmark has voted overwhelmingly to join the EU’s common defence policy, becoming the last of the bloc’s members to sign up. The referendum on Wednesday, in which voters backed the government’s proposal by 66.9% to 33.1%, followed historic applications by Denmark’s previously non-aligned Nordic neighbours, Finland and Sweden, to join Nato last month.
Nato’s secretary general, Jens Stoltenberg, said he will convene a meeting in Brussels in the coming days with senior officials from Sweden, Finland and Turkey to discuss Turkey’s opposition to Sweden and Finland joining the alliance. Blinken said there was a “strong consensus within Nato, broadly, to support the rapid accession of Sweden and Finland” to Nato and he was confident it would happen."
Guardian;https://www.theguardian.com/world/live/2022/jun/01/russia-ukraine-war-biden-approves-medium-range-rocket-systems-to-bolster-ukraine-defences-live;2022-06-02;Russian forces now control more than two-thirds of Sievierodonetsk – as it happened;"This live blog is now closed, you can find our latest coverage of the Russia-Ukraine war here
"
Guardian;https://www.theguardian.com/world/2022/jun/01/denmark-votes-on-joining-eus-common-defence-policy;2022-06-01;Denmark votes overwhelmingly to join EU’s common defence policy;"Government’s proposal to ditch opt-out backed by 66.9% to 33.1% in referendum following Russia’s invasion of Ukraine
Denmark has voted overwhelmingly to join the EU’s common defence policy, becoming the last of the bloc’s members to sign up, as Russia’s invasion of Ukraine continues to reshape Europe’s security landscape.
The referendum on Wednesday, in which voters backed the government’s proposal by 66.9% to 33.1%, followed historic applications by Denmark’s previously non-aligned Nordic neighbours, Finland and Sweden, to join Nato last month.
Denmark, historically critical of the EU, secured exemptions from joining the common security and defence policy (CSDP) and the euro in a 1993 referendum, but the country’s prime minister, Mette Frederiksen, said it was time to change tack.
“Tonight Denmark has sent a very important signal. To our allies in Europe and Nato, and to Putin,” she told cheering supporters on Wednesday evening after the result was published.
“We’re showing that when Putin invades a free country and threatens stability in Europe, we others pull together.
“Denmark now can partake in the European cooperation on defence and security. And for that I’m very, very happy.”
Frederiksen called the referendum barely two weeks after Russia’s invasion of Ukraine, after reaching an agreement with a majority of parties in the Danish parliament, and pledged to increase defence spending to 2% of GDP, in line with Nato membership requirements, by 2033.
“Nato will of course remain our most important tool, but the EU gives us another in securing our defence in the east,” the ruling Social Democrats’ defence spokesperson, Mogens Jensen, said. Eleven of Denmark’s 14 parties, representing more than three-quarters of seats in parliament, had urged voters to drop the opt-out.
“The world is changing, and not in a good way. We need to stand together and strengthen the cooperation that strengthens our security,” said Jakob Ellemann-Jensen, head of the opposition Liberal party.
Participation in the EU’s defence policy will allow Denmark, a founding Nato member, to take part in joint EU military operations, such as those in Bosnia, Mali and Somalia, and will allow Danish officials to stay in the room when EU colleagues discuss defence issues.
EU leaders Ursula von der Leyen and Charles Michel welcomed the result.
Denmark’s decision was a “strong message of commitment to our common security”, Von der Leyen tweeted, saying Denmark and the European Union would benefit.
“This decision will benefit Europe and make both the EU and the Danish people safer and stronger,” Michel wrote on Twitter.
It would be seen largely as a symbolic win in Brussels, experts said. “The political significance will outweigh the military contribution,” said Kristian Soby Kristensen, a senior researcher at Copenhagen University’s Centre for Military Studies.
Those opposed to abandoning the opt-out argued that the EU’s defence cooperation is hampered by excessive bureaucracy and inefficient decision-making, and that a joint European defence would come at the expense of Nato."
Guardian;https://www.theguardian.com/world/2022/jun/01/raise-the-roof-scotland-and-ukraine-fans-unite-in-song-at-hampden;2022-06-01;‘Raise the roof’: Scotland and Ukraine fans unite in song at Hampden;"Supporters of both teams sing Ukrainian national anthem before Wednesday night’s World Cup qualifier in Glasgow
Standing on the steps of Hampden in the late afternoon sunlight, Jim Struthers is wearing the same Scotland top he wore in 1998 – the last time his team qualified for the World Cup – but his heart is with Ukraine.
“It’s a very poignant evening,” says the Tartan Army stalwart, who has been supporting the Scottish national team for nearly half a century, and has come together with other fans to perform the Ukrainian national anthem – led by the opera singer Vasyl Savenko – on the steps of the Glasgow stadium as the crowds stream in for Wednesday’s qualifier.
“Part of you says it wants Ukraine to do well and part says: ‘Oh no, no, no …’ I feel for Ukraine, my passion is football, and this is a good way to connect.”
“It’s like Rabbie Burns,” he muses. “He wrote that the time will come when all will brothers be.”
The plan for Scots to join Ukrainian fans in singing their national anthem inside Hampden as an expression of unity was prompted by the language learning app Duolingo.
“It was one of those ideas that just snowballed,” explains the app’s UK manager, Colin Watkins. A phonetic Latin version from the original Cyrillic script of Shche Ne Vmerla Ukrayina was produced for Scots to practise in advance and fans walking into the stadium will all receive a leaflet explaining the plan “to raise the roof at Hampden Park”.
For the professional musician Iryna Ganzha, who is accompanying the singing on the bandura, a 65-string instrument made only in Ukraine, the significance of Wednesday’s match and show of vocal solidarity is immense.
“This is incredibly important for the whole of Ukraine to see, those who cannot be here, our brave women and men on the frontline,” she said.
“Ukraine is a singing nation, we express ourselves through music, and so the support of the Scottish people standing hand in hand with us and also voice to voice means so much.”
There were around 3,500 Ukraine fans in attendance at Hampden Park, including an invited group of orphans, able to witness their team’s surprise 1-3 victory over the Scots. Ukraine will now play Wales on Sunday at 5pm in Cardiff for the chance to qualify for the Qatar World Cup which begins in November.
Earlier, around the stadium, the usual festival atmosphere was undercut by a pulse of raw emotion. Kostaia waves his flag wildly in time to the folk songs that another supporter is belting out by the car park. She wears the traditional floral crown paired with jeans, like many female Ukrainian fans at the stadium.
Kostaia has travelled from London today: his boss, a Scot, gave him the day off. “Today is very difficult for me because of what is happening in my country.” His eyes are wet. “I want to help but I can’t.”
But the show of solidarity is not reserved for Hampden, as fans came together across Scotland on Wednesday evening.
In the Highland Perthshire town of Aberfeldy, where the community has welcomed 40 Ukrainians since the conflict began, the Black Watch pub is draped in both saltires and the blue and yellow bands of Ukraine for the occasion.
“This is an opportunity to have a bit of normality together,” explains the pub’s owner, Gavin Price, who is also manager of Elgin FC. “It’s been a settling-in process for all of us. It’s a friendly buildup, but when it comes to the football I’m sure both nations wants their team to win.”
Hannah Beaton-Hawryluk, the chair of the Edinburgh branch of the Association of Ukrainians in Great Britain, travelled to Hampden with her son after arranging two coaches to transport fans from the capital to Glasgow.
“It’s a little bit of light relief for people who arrived here, some with only the clothes they stand up in. It’s about being together and celebrating no matter what the outcome.”
Beaton-Hawryluk anticipates that singing her national anthem alongside home supporters at kick-off will be an “incredible” moment. She apologises as her voice breaks.
The association, which was founded in Edinburgh in 1946, has been so busy offering support to refugees who began arriving in February that she only now has a moment to reflect.
“Scots have been incredible from the moment the war started. They have rallied round and put their arms around Ukraine,” she said."
Guardian;https://www.theguardian.com/us-news/2022/jun/01/minnesota-paper-free-new-owner-ukraine;2022-06-01;Proprietor offers Minnesota paper free to new owner so he can fight in Ukraine;"Lee Zion seeks owner with ‘knowledge, experience and drive’ to take on Lafayette Nicollet Ledger, which reaches 100% of residents
For most newspapers, a subscription rate of 100% of the residents in their distribution area would be a success so huge as to be unimaginable. But Lee Zion, whose tiny Lafayette Nicollet Ledger reaches all 500 people in the tiny Minnesota town of Lafayette, says he is throwing in the towel – because he wants to fight for Ukraine.
Zion is offering to give away the weekly publication, which is profitable and free of debt, before he goes off to fight against the Russian invasion of Ukraine. Zion, 54, bought the Ledger four years ago for $35,000, after working in journalism for decades.
“To put out a good newspaper, they have to do what I do,” Zion warned prospective owners in an interview with Minnesota’s Star Tribune. “And that is, do everything myself with only a handful of [freelancers], and work seven days a week and never take time off.”
An advertisement posted in the journal said Zion “wants to leave the paper in good hands. To get this newspaper, entirely free of charge, the next owner must show that he or she has the knowledge, experience and the drive to take on the challenge.”
Zion’s motivation to volunteer to fight against Russian soldiers is complex. Before the invasion, he concedes, he didn’t care much about Ukraine, but he did have strong feelings about the bandura, a plucked string folk instrument that combines elements of the zither and lute and is considered Ukraine’s national instrument.
“It’s a gorgeous instrument. I thought, someday I’m going to buy one,” Zion told the Star Tribune. “And Russians murdered people just for the crime of playing it.
“Sounds silly, but at the same time, it’s so silly that it’s evil,” he added.
Zion contacted a bandura chorus in Toronto who advised him to contact the Ukrainian consulate in Chicago. Ukraine officials told the Military Times in March that they were looking for foreign volunteers with combat experience who would require little training before being armed and sent to the frontline.
“Where I go, that is up to other people,” he said. “They’ll decide whether I’m going to be in a combat zone. They’ll decide whether I dig ditches. They’ll decide whether I’m a teacher. I can be an escort taking people out of Ukraine.
“Maybe they’ll put me into news, because that’s what I’ve been doing my whole adult life.”
Some won’t be sad to see him go. In a 7 March 2019 editorial decrying anti-immigrant sentiment, he suggested that if people with xenophobic attitudes did not want to fight a declining birthrate by accepting immigrants into the country, then women should have sex with him instead.
A letter from Jan Anderson of Lafayette, publicly posted to Zion on Facebook and partially republished by South Minnesota News, called the editorial “disgusting, disturbing, and downright creepy” and called for Zion to leave town: “We are asking that Mr Zion make Lafayette, and the surrounding communities, less creepy again by packing up your wares and opening shop someplace else.”"
Guardian;https://www.theguardian.com/world/2022/jun/01/us-says-ukraine-will-not-use-us-supplied-rocket-systems-to-hit-russian-territory;2022-06-01;US says Ukraine will not use US-supplied rocket systems to hit Russian territory;"Washington says it has assurances as Moscow warns supply risks ‘third country’ being drawn into war
Ukraine has promised Washington it will not use advanced rocket systems supplied by the US to hit targets inside Russian territory, as Moscow warned that the move risked a “third country” being drawn into the war.
The US secretary of state, Antony Blinken, said on Wednesday that after Joe Biden’s agreement to provide Ukraine with multiple-launch rocket systems, Ukraine had “given us assurances that they will not use these systems against targets on Russian territory”.
The US plans to supply the M142 high mobility artillery rocket system (Himars) equipped with munitions with a range of about 50 miles, but not the more advanced rockets that can fly 185 miles. Himars is light, highly mobile and can be quickly reloaded by its crew.
The Russian foreign minister, Sergei Lavrov, speaking in Saudi Arabia, said the supply of the rocket launchers to Ukraine raised the risk of a “third country” being dragged into the conflict.
The Kremlin spokesperson Dmitry Peskov said such supplies would not encourage Ukraine’s leadership to resume stalled peace talks. “We believe that the United States is purposefully and diligently adding fuel to the fire,” he said. “In order to trust [someone], you need to have experience with situations when such promises were kept. Regretfully, there is no such experience whatsoever.”
Shortly after the US decision was announced, the Russian defence ministry said Russia’s nuclear forces were holding drills in Ivanovo province, north-east of Moscow, the Interfax news agency reported.
The expectation is that Ukraine could use the rockets in the eastern Donbas region, where they could intercept Russian artillery and take out Russian positions in towns where fighting is intense, such as Sievierodonetsk.
With Ukraine facing reverses in the battle for Donbas, Kyiv has been pushing hard for allies in Europe and the US to supply long-range artillery systems in attempt to redress the balance for its outgunned and outnumbered forces in a war that has increasingly become dominated by intense artillery duels.
Each launcher can carry six GPS-guided rockets, which can be reloaded in about a minute, and the system is considered more advanced than other rocket systems that Ukrainian forces currently use.
Jonathan Finer, the White House deputy national security adviser, said Washington believed the system would meet Kyiv’s needs. “This is a defensive conflict that the Ukrainians are waging. Russian forces are on their territory,” Finer said in an interview with CNN.
He said there were significant targets that Ukrainians could not reach with the weapons they had, and the rocket system would make a big difference in the conflict in the south-eastern part of the country, where Russian forces are currently focused.
However, there was some scepticism among defence analysts over how significant an impact the delivery of Himars might have on the battlefield in the immediate future, pointing to questions over Ukraine’s ability to effectively deploy it.
Franz-Stefan Gady, a research fellow at the International Institute for Strategic Studies, wrote on Twitter: “We have an incomplete picture of the current combat status of the Ukrainian armed forces. I would be cautious when attempting to assess how quickly Ukraine would be able to integrate new platforms/weapons systems to increase combat effectiveness in a larger-scale counteroffensive.
“Combined arms manoeuvre is a complex undertaking. What you don’t want is rushing undertrained brigades into combat. Knowing how to rudimentarily use and do simple repairs on a weapon system is merely the first step and does not indicate how effective units will be in actual combat.”
While the weapons will close some of the gap, allowing Ukraine to hit further behind Russian lines in Ukraine – in particular allowing it to target command centres – other experts point out that using Himars effectively will rely heavily on the quality of Ukrainian battlefield intelligence.
The promise of Himars represents the 11th US assistance package for Ukraine approved so far and will be the first to tap into the $40bn in security and economic assistance package recently passed by Congress.
The rocket systems would be part of Pentagon drawdown authority, so their supply would involve taking weapons from US inventory and getting them into Ukraine quickly. Ukrainian troops would need training on the new systems, which could take at least a week or two.
Philip Breedlove, a retired US Air Force general who was Nato’s top commander from 2013 to 2016, said Ukraine needed multiple-launch rocket systems.
“These are very important capabilities that we have not gotten them yet. And they not only need them, but they have been very vociferous in explaining they want them,” he said. “We need to get serious about supplying this army so that it can do what the world is asking it to do: fight a world superpower alone on the battlefield.”
Agencies contributed to this article"
Guardian;https://www.theguardian.com/world/2022/jun/01/ukrainians-could-fill-job-vacancies-in-britain-if-only-they-could-get-visas;2022-06-01;Ukrainians could fill job vacancies in Britain, if only they could get visas;"Home Office bureaucracy is depriving our economy of highly skilled workers, write Nick Greenberg, Shubham Agarwal, Vathuthita Techataratip, Jun Hatakeyama and Kate Halsted
Under the Homes for Ukraine visa scheme, we have seen many thousands of Britons put their hands up to host Ukrainians fleeing the carnage in their homeland. However, the process to apply has been described by the Ukrainian ambassador to the UK, Vadym Prystaiko, as being “unnecessary, long, [and] bureaucratic”.
The government should realise that there’s more to be gained than the warm fuzzy feeling of a global do-gooder if we prioritise the expedient assistance of as many Ukrainians as possible, as soon as possible.
The combination of EU workers in the UK heading back home post-Brexit, combined with the necessary safety net support provided by the government in the pandemic, has culminated in an unemployment rate of 3.7% in the first quarter of this year. This is the lowest it’s been since 1974, and the first time that there have been fewer unemployed people than job vacancies.
In other words, UK businesses need employees now. And it turns out that there’s an able workforce ready to assist if they could get some help from the Home Office to simplify getting here. They are skilled workers too. In February this year, Ukraine was home to 5,000 IT companies, 290,000 developers, 150 fintech companies, five unicorn companies and startups that had secured $1.68bn (£1.35bn) of funding within the first 11 months of 2021. Before the war, Ukraine was positioning itself as a hub for people adept in digital transformation and business innovation.
Surely prioritising and simplifying the process of applying for a visa for people who are highly skilled and desperately in need of our assistance is therefore a no-brainer? Nick Greenberg, Shubham Agarwal, Vathuthita Techataratip, Jun Hatakeyama and Kate Halsted Judge business school, University of Cambridge
Have an opinion on anything you’ve read in the Guardian today? Please email us your letter and it will be considered for publication."
Guardian;https://www.theguardian.com/world/2022/jun/01/ukraine-steel-boss-at-heart-of-mariupol-defence-says-economy-is-key-to-war-effort;2022-06-01;Boss of devastated Azovstal plant: ‘Steel is as key to Ukraine’s victory as soldiers’;"Yuriy Ryzhenkov’s Mariupol steelworks has been stopped, but his company is leading Kyiv’s economic war against Russia
The Azovstal steelworks in Mariupol has become one of the symbols of the brutality of Russia’s invasion of Ukraine. Soldiers held out for weeks in the warren of tunnels, warehouses and cooling blast furnaces as they and hundreds of civilians sheltering with them were encircled and eventually forced to surrender.
The site produced 40% of Ukraine’s entire steel output and was the key asset of the country’s biggest pre-war employer, Metinvest. Now its owner has an important role to play in the parallel battle to sustain the economy via its other plants outside occupied territory, according to its chief executive, Yuriy Ryzhenkov.
“The war effort is not only what you supply to the army, but also how [the] economy functions,” the Metinvest boss says, speaking via video link from a company office in Lviv in the west of Ukraine. “So the better the economy functions, the better the country can fight a war. In our view, in my personal view, the people who are now at our steel mills are just as important to the victory of Ukraine as the soldiers on the frontline.”
Ryzhenkov was in the capital, Kyiv, when he first heard Russian weaponry signalling the start of the invasion, and was stunned that Vladimir Putin’s regime would launch open warfare. The company has since adjusted to operating in a warzone, but at least 153 Metinvest employees have died in the fighting.
Beyond keeping money flowing through the economy, the metals and mining group is playing a direct role in the war effort, delivering steel for 1,500 bulletproof vests a week to Ukraine’s armed forces, and importing military equipment such as drones, night-vision headsets and helmets.
It is a remarkable shift for a company whose main shareholder – Ukraine’s richest man, Rinat Akhmetov – was as recently as November cited by the president, Volodymyr Zelenskiy, as a target to be recruited to back a possible coup attempt. Zelenskiy said Akhmetov was not involved in the plot, and the oligarch said claims of moves to draw him in were “an absolute lie”.
Akhmetov, who has links to the UK including past property investments in London, has remained hugely powerful under successive Ukraine administrations, both pro- and anti-Moscow, and has swung behind the current government, saying his allegiance is only to Ukraine and that Russian soldiers should be punished, adding that he would dedicate his wealth to rebuilding the country.
Ryzhenkov says he is in regular contact with Akhmetov as well as the Kyiv government, but insists the company is not involved with the “political issues” of its owner. “We’re working as a single team towards Ukrainian victory.”
Before the war, Azovstal employed 35,000 people, producing 9.5m tonnes of steel a year – two-thirds of Metinvest’s output. That has all stopped. Given the scale of the human lives lost, it can be jarring to talk about quotidian business matters. Ryzhenkov raises an eyebrow when asked what Metinvest’s output will be this year, but responds that it will be down at least 60% compared with 2021.
Yet there has been “help from the market” in the form of strong steel prices, which have lessened the blow to the company’s finances, which were in any case in relatively good shape before the February invasion began, with cash balances high. Ryzhenkov says the company’s focus around Mariupol has now turned to providing temporary food and shelter for more than half of the workforce who have already left the city. Metinvest is running a “humanitarian hub” in the south-eastern city of Zaporizhzhia, offering medics and psychological help for adults and children.
Yet he estimates that 50,000 of its employees are still working in the country. Two more blast furnaces in Zaporizhzhia and the city of Kamianske to the north are working at about 50% and 60% capacity respectively, with most products going to European markets or ports. Iron ore mining facilities in Ukraine are operating at around 35% to 40% capacity, and a coking coalmine is at about 75%.
Running a humanitarian operation alongside one of the country’s largest businesses during wartime is not something most chief executives face, but Metinvest has had some preparation. It was forced to move its headquarters from Donetsk after Kremlin-backed separatists first invaded Ukraine’s east in 2014 and turn more towards European markets and non-Russian suppliers for fuel where possible. Then, in the pandemic, it implemented remote working for all eligible staff.
The issue is getting the goods to customers. There has been “quite a significant slowdown in the flow of goods”, Ryzhenkov says. Ukraine and EU governments could step in to provide subsidies for transport, he suggests. The situation for food exports is of particular urgency, not just for Ukrainians, but for poorer consumers of imported wheat around the world.
“It is a big concern,” he says. “Logistics is the key bottleneck right now for many Ukrainian businesses. The government is trying to restart the economy, but without resolving these logistical difficulties, it’s going to be very difficult. We are concerned about the speed at which these bottlenecks are being ‘debottlenecked’.” Reopening Black Sea ports at Mariupol and Odesa is “the key for economy restart”, he adds.
Efforts to increase exports via rail are complicated by the different railway gauges used in Ukraine and Poland, so Metinvest has set up reloading centres in Poland and Slovakia to move products more quickly on to Europe-compatible trains. There is a limit to what can be taken by road, and Ukraine is struggling with severe lack of fuel. Ryzhenkov says government efforts to cap prices have worsened the shortage instead.
From the images of Azovstal’s destruction that filtered out – some of them truly extraordinary – it seems like there cannot be much of it left, but the Metinvest boss cautions that the pictures could be “misleading”, with many showing less important auxiliary units, not the key blast furnaces.
The brutality of the battle for Mariupol has contributed to international isolation of Russia. (Ryzhenkov praised Boris Johnson’s backing for Ukrainian victory, saying the UK prime minister was sending a “very powerful message, and we can hear it and feel it”.) Putin’s apparent aim was to control Ukraine, but the invasion has prompted Metinvest and many other key parts of the economy to turn decisively away from Moscow.
The company is even looking at options to produce more steel in the EU using Ukrainian commodities and Ryzhenkov hopes that Russian steel exports will be targeted by sanctions.
Links with Russia of any kind are off the cards for the “foreseeable future”, he says, and Metinvest will “absolutely not” operate from Russian-controlled territory. “Until [the] Russian regime changes, I don’t see how that can be restored.”"
